Target,index,lag_1,debt,stocks,dow_jones,markets,unemployment,money,stock_market,crisis,nasdaq,finance,invest
0,176,1,-0.01,0.0,0.0,0.0,0.01,0.01,0.0,-0.09,-0.01,0.04,0.03
1,177,0,0.02,-0.01,0.0,0.01,0.01,0.0,0.0,-0.09,0.0,0.05,-0.01
1,178,1,-0.02,0.02,0.0,0.03,0.0,0.0,-0.02,-0.06,-0.02,0.01,0.01
1,179,1,0.0,0.01,0.0,0.1,0.0,0.02,0.0,-0.02,0.0,-0.03,-0.04
0,180,1,0.0,0.04,0.01,0.07,0.0,0.0,0.0,0.02,0.04,0.04,0.02
0,181,0,0.03,0.03,0.01,0.05,0.0,0.06,0.02,0.02,0.01,0.01,0.0
0,182,0,0.03,0.02,0.02,-0.06,0.0,0.02,0.03,0.03,0.06,0.06,0.04
1,183,0,-0.02,-0.02,0.01,0.03,0.0,0.0,0.03,-0.02,0.03,0.02,-0.02
0,184,1,-0.01,-0.01,0.01,0.01,0.0,-0.04,0.03,0.01,0.04,0.05,0.01
1,185,0,-0.03,-0.01,0.01,0.05,0.0,0.01,0.03,0.0,-0.01,0.05,-0.02
0,186,1,0.02,0.01,-0.01,-0.07,0.0,0.01,-0.01,0.06,-0.04,-0.03,0.01
0,187,0,-0.01,-0.03,-0.01,-0.09,0.0,-0.02,-0.03,0.03,-0.04,-0.07,-0.03
1,188,0,0.0,-0.03,-0.03,-0.1,0.0,-0.03,-0.05,0.02,-0.06,-0.1,-0.02
1,189,1,-0.01,-0.01,-0.01,-0.07,0.0,-0.01,-0.02,0.0,-0.03,-0.02,-0.02
1,190,1,0.04,0.03,0.0,0.02,0.0,0.04,0.01,0.08,-0.01,0.03,0.06
1,191,1,0.03,0.04,0.0,0.04,0.0,0.04,0.0,0.06,0.04,0.06,0.07
1,192,1,0.04,0.02,0.01,0.11,0.0,0.04,0.03,0.04,0.04,0.02,0.0
0,193,1,-0.01,0.04,-0.01,-0.01,0.0,0.0,0.0,-0.03,0.04,-0.01,-0.05
1,194,0,0.02,0.01,0.0,-0.07,0.0,0.01,0.02,0.0,-0.01,0.01,0.01
