Target,index,lag_1,debt,stocks,dow_jones,markets,unemployment,money,stock_market,crisis,nasdaq,finance,invest
0,775,0,0.27,0.203,0.19,0.433,0.04,0.593,0.197,0.39,0.283,0.493,0.443
0,776,0,0.263,0.227,0.23,0.447,0.04,0.603,0.243,0.373,0.31,0.497,0.44
1,777,0,0.237,0.24,0.27,0.437,0.04,0.607,0.28,0.317,0.327,0.473,0.427
1,778,1,0.233,0.247,0.287,0.44,0.043,0.613,0.293,0.257,0.33,0.457,0.437
1,779,1,0.237,0.237,0.263,0.41,0.05,0.613,0.247,0.253,0.3,0.453,0.463
1,780,1,0.25,0.233,0.213,0.367,0.057,0.617,0.167,0.277,0.26,0.457,0.493
1,781,1,0.243,0.23,0.18,0.353,0.06,0.613,0.137,0.29,0.247,0.447,0.51
1,782,1,0.24,0.23,0.163,0.35,0.057,0.613,0.123,0.287,0.243,0.443,0.533
1,783,1,0.24,0.23,0.15,0.347,0.053,0.613,0.117,0.29,0.24,0.45,0.547
1,784,1,0.257,0.237,0.15,0.34,0.05,0.61,0.11,0.3,0.24,0.46,0.55
1,785,1,0.26,0.233,0.14,0.35,0.047,0.603,0.11,0.307,0.223,0.45,0.54
0,786,1,0.267,0.23,0.14,0.353,0.043,0.607,0.107,0.317,0.227,0.457,0.537
0,787,0,0.253,0.227,0.137,0.357,0.04,0.603,0.107,0.323,0.22,0.457,0.547
1,788,0,0.25,0.223,0.137,0.35,0.04,0.597,0.103,0.32,0.233,0.457,0.537
0,789,1,0.24,0.223,0.137,0.357,0.04,0.583,0.107,0.313,0.233,0.443,0.527
1,790,0,0.233,0.227,0.137,0.363,0.04,0.577,0.103,0.31,0.247,0.44,0.513
1,791,1,0.23,0.23,0.14,0.377,0.04,0.583,0.103,0.323,0.25,0.45,0.513
0,792,1,0.233,0.227,0.137,0.38,0.04,0.587,0.097,0.337,0.243,0.45,0.513
1,793,0,0.23,0.217,0.13,0.387,0.04,0.6,0.1,0.343,0.227,0.443,0.503
0,794,1,0.237,0.213,0.123,0.38,0.04,0.597,0.1,0.353,0.23,0.437,0.507
0,795,0,0.237,0.213,0.12,0.373,0.04,0.607,0.103,0.363,0.243,0.443,0.51
0,796,0,0.237,0.22,0.14,0.38,0.04,0.6,0.113,0.377,0.267,0.46,0.517
0,797,0,0.227,0.22,0.167,0.393,0.04,0.603,0.13,0.37,0.27,0.467,0.507
0,798,0,0.22,0.207,0.177,0.403,0.04,0.603,0.13,0.35,0.26,0.46,0.48
0,799,0,0.21,0.19,0.16,0.397,0.04,0.603,0.117,0.317,0.237,0.443,0.46
1,800,0,0.203,0.18,0.147,0.39,0.04,0.597,0.1,0.287,0.233,0.437,0.457
1,801,1,0.2,0.183,0.143,0.39,0.04,0.58,0.097,0.283,0.233,0.447,0.467
1,802,1,0.207,0.193,0.15,0.397,0.04,0.577,0.097,0.28,0.243,0.46,0.487
0,803,1,0.223,0.193,0.143,0.403,0.04,0.577,0.093,0.28,0.237,0.46,0.49
1,804,0,0.217,0.187,0.137,0.423,0.04,0.58,0.097,0.25,0.23,0.437,0.47
1,805,1,0.22,0.183,0.133,0.42,0.04,0.59,0.093,0.237,0.23,0.437,0.493
0,806,1,0.213,0.18,0.133,0.417,0.04,0.6,0.09,0.227,0.223,0.44,0.5
1,807,0,0.23,0.187,0.133,0.4,0.04,0.613,0.083,0.23,0.23,0.46,0.52
0,808,1,0.233,0.187,0.137,0.397,0.04,0.62,0.087,0.227,0.23,0.487,0.507
0,809,0,0.23,0.2,0.17,0.407,0.04,0.617,0.117,0.233,0.26,0.553,0.497
0,810,0,0.227,0.213,0.217,0.417,0.04,0.607,0.157,0.237,0.283,0.627,0.5
0,811,0,0.23,0.217,0.237,0.423,0.04,0.59,0.17,0.243,0.29,0.677,0.483
1,812,0,0.23,0.203,0.227,0.423,0.037,0.583,0.157,0.24,0.267,0.64,0.47
1,813,1,0.22,0.183,0.187,0.407,0.033,0.58,0.123,0.243,0.227,0.56,0.467
1,814,1,0.217,0.18,0.17,0.4,0.03,0.64,0.11,0.25,0.22,0.483,0.483
0,815,1,0.217,0.183,0.15,0.387,0.03,0.647,0.1,0.267,0.21,0.453,0.497
0,816,0,0.227,0.187,0.15,0.397,0.033,0.643,0.1,0.283,0.223,0.457,0.497
0,817,0,0.227,0.183,0.153,0.397,0.037,0.583,0.107,0.293,0.217,0.47,0.477
1,818,0,0.227,0.18,0.157,0.393,0.04,0.573,0.107,0.297,0.217,0.49,0.477
0,819,1,0.223,0.18,0.157,0.377,0.04,0.573,0.107,0.303,0.21,0.517,0.47
1,820,0,0.223,0.183,0.143,0.37,0.04,0.57,0.097,0.307,0.21,0.52,0.477
1,821,1,0.227,0.19,0.137,0.357,0.04,0.57,0.093,0.303,0.21,0.523,0.473
1,822,1,0.233,0.2,0.14,0.36,0.04,0.573,0.097,0.303,0.223,0.527,0.487
1,823,1,0.233,0.203,0.14,0.357,0.04,0.573,0.103,0.307,0.223,0.527,0.483
0,824,1,0.233,0.207,0.137,0.367,0.04,0.577,0.103,0.323,0.223,0.52,0.497
1,825,0,0.21,0.193,0.12,0.363,0.037,0.56,0.1,0.307,0.2,0.48,0.463
0,826,1,0.21,0.193,0.12,0.363,0.037,0.567,0.097,0.347,0.193,0.483,0.473
1,827,0,0.21,0.19,0.12,0.363,0.037,0.57,0.1,0.507,0.19,0.483,0.47
1,828,1,0.22,0.2,0.133,0.36,0.04,0.587,0.103,0.537,0.21,0.513,0.487
1,829,1,0.197,0.2,0.127,0.363,0.04,0.587,0.103,0.47,0.217,0.48,0.467
0,830,1,0.187,0.22,0.123,0.36,0.043,0.6,0.11,0.283,0.217,0.47,0.5
1,831,0,0.2,0.247,0.13,0.36,0.047,0.623,0.113,0.29,0.23,0.483,0.553
1,832,1,0.23,0.273,0.143,0.353,0.05,0.64,0.12,0.387,0.247,0.53,0.607
0,833,1,0.247,0.27,0.147,0.363,0.05,0.643,0.12,0.413,0.257,0.547,0.603
