date,start,unadjusted,pct_change,adjusted,normalised,monthly,debt,color,stocks,restaurant,portfolio,inflation,housing,dow_jones,revenue,economics,credit,markets,return,unemployment,money,religion,cancer,growth,investment,hedge,marriage,bonds,derivatives,headlines,profit,society,leverage,loss,cash,office,fine,stock_market,banking,crisis,happy,car,nasdaq,gains,finance,sell,invest,fed,house,metals,travel,returns,gain,default,present,holiday,water,rich,risk,gold,success,oil,war,economy,chance,lifestyle,greed,food,movie,nyse,ore,opportunity,health,earnings,arts,culture,bubble,buy,trader,tourism,politics,energy,consume,consumption,freedom,dividend,world,conflict,kitchen,forex,home,transaction,garden,fond,train,labor,fun,environment,ring,close
2017-12-22,0,86,1.09,31,7,17.70967741935484,11,20,21,47,26,14,30,3,4,12,73,19,42,3,38,31,34,32,19,8,4,9,0,12,13,23,2,38,3400,70,33,7,26,17,20,63,18,27,50,78,48,25,33,22,16,15,27,20,43,10,16,13,26,20,8,33,10,19,12,24,1,52,56,0,38,6,19,8,16,8,44,40,23,6,4,33,1,13,18,35,9,25,57,14,61,27,34,28,32,2,43,9,57,24754.060546875
2017-12-23,0,32,0.37,12,3,17.838709677419356,7,20,14,55,15,14,22,1,2,8,60,17,39,2,37,30,28,26,15,7,5,7,0,12,11,20,2,36,2800,56,35,3,21,15,16,63,6,20,23,82,40,17,36,13,15,13,26,15,45,11,16,15,18,20,6,35,10,17,13,19,1,59,69,0,38,3,12,5,14,6,47,44,28,5,3,21,1,11,16,23,9,15,70,11,65,20,37,27,33,1,44,4,61,24754.060546875
2017-12-24,0,25,0.78,9,2,17.967741935483872,7,19,12,50,14,12,19,0,2,7,41,17,37,4,34,30,26,25,14,6,4,6,0,12,11,17,2,33,2400,35,32,2,16,15,16,55,4,16,16,70,31,12,36,9,14,13,22,13,50,16,15,13,19,20,6,31,11,16,13,20,1,63,70,0,38,4,9,4,12,6,41,38,41,4,3,18,1,9,15,17,9,12,62,12,64,16,38,20,31,1,37,4,63,24754.060546875
2017-12-25,0,30,1.2,11,2,18.096774193548384,6,18,13,48,14,18,18,0,2,8,31,23,42,3,43,40,26,22,13,8,4,7,0,12,9,14,1,32,2000,30,27,2,10,14,19,52,6,14,15,66,33,8,36,9,15,15,21,16,45,14,15,14,18,21,6,26,12,13,11,20,1,82,83,0,43,2,8,5,9,6,44,30,27,5,3,17,1,10,14,19,10,11,54,11,67,14,35,24,30,1,37,4,66,24754.060546875
2017-12-26,0,66,2.2,24,5,18.225806451612907,9,20,19,45,22,13,33,2,3,7,65,17,62,6,47,28,31,28,19,8,5,7,0,13,11,21,1,44,2700,69,31,6,23,16,16,66,19,20,43,75,44,16,36,16,18,22,28,22,24,9,17,13,23,21,7,35,11,17,11,24,1,57,74,0,38,4,20,7,14,7,43,37,20,6,3,28,1,10,19,34,10,12,61,16,75,24,36,30,32,2,45,6,66,24746.2109375
2017-12-27,0,60,0.91,22,5,18.354838709677427,13,20,23,48,32,13,39,3,5,10,70,15,60,5,46,25,36,34,22,8,5,9,0,12,17,23,2,54,2700,69,34,5,25,16,16,70,18,27,50,79,48,20,36,18,19,20,31,23,19,6,18,14,28,20,9,39,10,18,10,25,1,52,64,0,38,5,23,8,16,8,44,33,21,5,3,34,1,12,21,36,10,14,63,15,72,22,36,30,31,3,45,7,64,24774.30078125
2017-12-28,0,59,0.98,21,5,18.483870967741925,11,21,23,49,26,12,41,3,5,9,74,17,55,4,45,25,37,36,23,8,5,9,1,11,16,24,2,51,2700,69,33,5,24,17,18,69,19,24,49,79,48,23,36,19,19,21,31,22,19,6,18,15,30,19,9,40,11,18,12,27,0,54,60,0,32,5,23,10,16,8,40,32,19,7,4,37,1,12,20,42,10,15,65,15,72,23,37,30,30,2,45,8,60,24837.509765625
2017-12-29,0,67,1.14,24,5,18.61290322580645,10,21,23,55,28,14,38,3,5,10,81,16,53,4,47,22,35,35,20,7,5,8,0,10,14,24,2,49,2800,69,33,6,28,16,21,71,19,23,50,76,48,21,36,16,18,17,30,21,17,6,19,15,27,19,9,39,10,17,12,25,1,56,60,0,39,4,22,8,16,7,43,32,23,7,3,38,1,12,22,35,11,14,68,11,68,22,37,28,30,2,47,6,56,24719.220703125
2017-12-30,0,37,0.55,13,3,18.741935483870968,9,22,15,60,21,13,28,1,2,10,62,15,47,2,46,25,33,30,16,6,5,7,0,10,12,23,1,48,2600,51,36,3,20,16,19,69,7,23,23,79,46,16,38,11,17,16,30,14,17,5,18,14,18,21,8,40,11,17,12,26,1,62,68,0,44,3,13,6,15,8,45,34,25,6,3,27,1,12,19,24,10,14,77,11,68,20,40,21,30,2,50,6,57,24719.220703125
2017-12-31,0,29,0.78,10,2,18.870967741935484,7,21,14,57,19,11,23,0,2,8,44,15,44,5,40,26,30,30,14,7,5,7,0,12,11,19,2,46,2200,34,36,2,15,15,42,59,5,15,18,76,37,12,38,10,16,16,27,15,17,6,17,14,20,19,6,35,11,14,12,23,1,64,67,0,38,4,12,6,14,7,43,32,35,6,4,22,1,12,17,19,11,13,73,12,67,17,39,26,28,2,47,5,59,24719.220703125
2018-01-01,0,5,0.17,14,3,19.0,8,19,15,53,19,16,24,0,3,10,47,20,41,4,39,28,32,34,15,8,5,7,1,14,11,22,2,46,2100,41,28,3,16,15,66,55,5,17,21,63,31,12,37,14,16,14,26,14,17,9,19,15,21,15,9,30,12,17,9,23,1,61,60,0,35,6,15,9,17,8,36,26,36,6,4,27,1,11,21,19,11,20,61,14,67,12,37,28,27,2,51,8,46,24719.220703125
2018-01-02,0,10,2.0,28,6,19.645161290322573,13,20,23,38,30,22,45,4,8,16,76,22,55,7,41,28,36,51,24,11,5,10,1,12,16,27,2,61,2400,88,28,6,26,22,16,65,19,25,66,67,44,21,33,24,21,18,33,24,21,5,22,16,36,15,15,36,12,23,9,23,1,50,43,0,32,11,30,15,23,11,36,25,20,6,5,47,1,16,28,40,9,28,52,21,65,18,30,39,25,3,45,18,46,24824.009765625
