Date,adjusted,unadjusted,monthly
2005-07-27,1,47,7.0
2005-07-28,1,40,7.0
2005-07-29,2,57,7.0
2005-07-30,1,38,7.0
2005-07-31,2,62,7.0
2005-08-01,2,43,7.0
2005-08-02,1,53,7.032258064516129
2005-08-03,2,45,7.064516129032258
2005-08-04,1,48,7.096774193548387
2005-08-05,2,63,7.129032258064516
2005-08-06,1,41,7.161290322580645
2005-08-07,1,23,7.193548387096774
2005-08-08,2,39,7.225806451612903
2005-08-09,1,43,7.258064516129032
2005-08-10,2,57,7.290322580645161
2005-08-11,2,59,7.32258064516129
2005-08-12,2,57,7.354838709677419
2005-08-13,1,26,7.387096774193548
2005-08-14,1,37,7.419354838709677
2005-08-15,2,56,7.451612903225806
2005-08-16,1,41,7.483870967741936
2005-08-17,1,47,7.516129032258064
2005-08-18,2,68,7.548387096774194
2005-08-19,2,57,7.580645161290322
2005-08-20,1,53,7.612903225806452
2005-08-21,1,18,7.645161290322581
2005-08-22,1,39,7.67741935483871
2005-08-23,2,56,7.709677419354839
2005-08-24,1,26,7.741935483870968
2005-08-25,1,34,7.774193548387097
2005-08-26,1,49,7.806451612903226
2005-08-27,1,35,7.838709677419355
2005-08-28,1,31,7.870967741935484
2005-08-29,2,48,7.903225806451613
2005-08-30,2,43,7.935483870967742
2005-08-31,2,71,7.967741935483871
2005-09-01,2,61,8.0
2005-09-02,2,66,8.066666666666666
2005-09-03,1,32,8.133333333333333
2005-09-04,1,41,8.2
2005-09-05,1,38,8.266666666666667
2005-09-06,2,69,8.333333333333334
2005-09-07,2,59,8.4
2005-09-08,2,47,8.466666666666667
2005-09-09,2,68,8.533333333333333
2005-09-10,1,40,8.6
2005-09-11,1,23,8.666666666666666
2005-09-12,2,48,8.733333333333333
2005-09-13,2,59,8.8
2005-09-14,2,57,8.866666666666667
2005-09-15,2,48,8.933333333333334
2005-09-16,2,55,9.0
2005-09-17,2,43,9.066666666666666
2005-09-18,2,23,9.133333333333333
2005-09-19,2,66,9.2
2005-09-20,2,66,9.266666666666666
2005-09-21,1,52,9.333333333333334
2005-09-22,2,48,9.4
2005-09-23,2,58,9.466666666666667
2005-09-24,1,30,9.533333333333333
2005-09-25,1,48,9.6
2005-09-26,2,41,9.666666666666666
